,ASMT,ASMTWithDa,Acres,LandUse1,TRA,floor,Notes,Shape_STAr,Shape_STLe,geometry
127,004710021000,004-710-021-000,0.02,12E,002000,0,WAS 004700020,1001.5628,133.659980841,"POLYGON Z ((6473430.680000007 1870572.8100000024 0, 6473431.060000002 1870572.7600000054 0, 6473432.189999998 1870572.5799999982 0, 6473432.569999993 1870572.4899999946 0, 6473432.950000003 1870572.4099999964 0, 6473433.689999998 1870572.2199999988 0, 6473434.060000002 1870572.1200000048 0, 6473434.430000007 1870572.0100000054 0, 6473435.159999996 1870571.7699999958 0, 6473435.530000001 1870571.6400000006 0, 6473436.239999995 1870571.3700000048 0, 6473436.939999998 1870571.0699999928 0, 6473437.290000007 1870570.9099999964 0, 6473437.980000004 1870570.5699999928 0, 6473438.319999993 1870570.3799999952 0, 6473438.659999996 1870570.2099999934 0, 6473439.329999998 1870569.8299999982 0, 6473440.299999997 1870569.2099999934 0, 6473440.930000007 1870568.7699999958 0, 6473441.239999995 1870568.5400000066 0, 6473441.840000004 1870568.0699999928 0, 6473442.430000007 1870567.5699999928 0, 6473442.170000002 1870566.950000003 0, 6473454.879999995 1870561.549999997 0, 6473452.900000006 1870556.8599999994 0, 6473453.359999999 1870556.6700000018 0, 6473451.989999995 1870553.450000003 0, 6473460.200000003 1870549.9599999934 0, 6473452.370000005 1870531.549999997 0, 6473418.469999999 1870545.9599999934 0, 6473418.829999998 1870546.8100000024 0, 6473418.040000007 1870548.7699999958 0, 6473419.670000002 1870552.6099999994 0, 6473421.629999995 1870553.400000006 0, 6473429.909999996 1870572.8900000006 0, 6473430.680000007 1870572.8100000024 0))"
128,004710036000,004-710-036-000,0.02,12,002000,0,WAS 004700035,790.277,120.642271667,"POLYGON Z ((6473625.290000007 1870630.0100000054 0, 6473610.879999995 1870596.1200000048 0, 6473592.790000007 1870603.8100000024 0, 6473600.439999998 1870621.8299999982 0, 6473596.909999996 1870623.3299999982 0, 6473603.659999996 1870639.200000003 0, 6473625.290000007 1870630.0100000054 0))"
129,004710037000,004-710-037-000,0.02,12E,002000,0,WAS 004700036,773.7604,121.394064816,"POLYGON Z ((6473632.379999995 1870628.6200000048 0, 6473633.180000007 1870626.650000006 0, 6473646.680000007 1870620.9099999964 0, 6473643.209999993 1870612.75 0, 6473640.219999999 1870614.0199999958 0, 6473629.290000007 1870588.2900000066 0, 6473610.879999995 1870596.1200000048 0, 6473625.290000007 1870630.0100000054 0, 6473626.590000004 1870629.450000003 0, 6473628.560000002 1870630.25 0, 6473632.379999995 1870628.6200000048 0))"
130,004710053000,004-710-053-000,0.02,12,002000,0,WAS 004700052,774.2248,121.433461668,"POLYGON Z ((6473538.870000005 1870408.4899999946 0, 6473539.670000002 1870406.5300000012 0, 6473553.180000007 1870400.7900000066 0, 6473549.700000003 1870392.6200000048 0, 6473546.709999993 1870393.900000006 0, 6473535.769999996 1870368.1599999964 0, 6473517.349999994 1870375.9899999946 0, 6473531.780000001 1870409.8799999952 0, 6473533.090000004 1870409.3299999982 0, 6473535.049999997 1870410.1200000048 0, 6473538.870000005 1870408.4899999946 0))"
131,005012004000,005-012-004-000,0.16,11,002012,0,,6856.23865,350.57606745,"POLYGON Z ((6478247.840000004 1869133.9699999988 0, 6478239.900000006 1869075.3100000024 0, 6478124.829999998 1869091.7900000066 0, 6478132.450000003 1869149.9399999976 0, 6478247.840000004 1869133.9699999988 0))"
132,005013014000,005-013-014-000,0.12,212,002014,0,,5183.3441,328.308188108,"POLYGON Z ((6478077.230000004 1868794.8599999994 0, 6478071.049999997 1868749.9200000018 0, 6478039.739999995 1868754.1299999952 0, 6478031.739999995 1868759 0, 6477952.659999996 1868770.7300000042 0, 6477958.670000002 1868812.4800000042 0, 6478077.230000004 1868794.8599999994 0))"
133,005014011000,005-014-011-000,0.12,11,002014,0,0050141100 CONVERTED    12/01/87,5264.1766,332.307443646,"POLYGON Z ((6478635.969999999 1869021.0199999958 0, 6478618.439999998 1868898.7300000042 0, 6478576.019999996 1868904.7300000042 0, 6478594.010000005 1869026.9599999934 0, 6478635.969999999 1869021.0199999958 0))"
134,005014013000,005-014-013-000,0.17,11,002014,0,0050141300 CONVERTED    12/01/87,7463.8681,367.916950004,"POLYGON Z ((6478537.739999995 1869034.9200000018 0, 6478521.489999995 1868912.450000003 0, 6478461.780000001 1868920.900000006 0, 6478477.799999997 1869043.3900000006 0, 6478537.739999995 1869034.9200000018 0))"
135,005015009000,005-015-009-000,0.1,11,002014,0,0050150900 CONVERTED    12/01/87,4694.0161,295.394155147,"POLYGON Z ((6478753.219999999 1868822.7699999958 0, 6478740.049999997 1868722.1099999994 0, 6478693.670000002 1868728.8900000006 0, 6478707.959999993 1868829.1700000018 0, 6478753.219999999 1868822.7699999958 0))"
136,005015010000,005-015-010-000,0.25,11,002014,0,0050151000 CONVERTED    12/01/87,10779.7772,482.679911641,"POLYGON Z ((6478609.909999996 1868741.1200000048 0, 6478650.239999995 1868735.2300000042 0, 6478693.670000002 1868728.8900000006 0, 6478740.049999997 1868722.1099999994 0, 6478732.450000003 1868664.0100000054 0, 6478551.400000006 1868689.2699999958 0, 6478557.769999996 1868730.9399999976 0, 6478560.430000007 1868748.3400000036 0, 6478609.909999996 1868741.1200000048 0))"
137,005015012000,005-015-012-000,0.17,21,002014,0,0050151200 CONVERTED    12/01/87,7363.0701,448.22413302,"POLYGON Z ((6478727.200000003 1868623.8900000006 0, 6478724.620000005 1868604.1700000018 0, 6478721.950000003 1868583.75 0, 6478637.700000003 1868595.6700000018 0, 6478579.510000005 1868603.9099999964 0, 6478539.219999999 1868609.6099999994 0, 6478545.189999998 1868648.6599999964 0, 6478727.200000003 1868623.8900000006 0))"
138,005021002000,005-021-002-000,0.16,2122,002014,0,0050210200 CONVERTED    12/01/87,7015.5417,353.85326143,"POLYGON Z ((6477367.810000002 1868509.150000006 0, 6477366.769999996 1868393.0100000054 0, 6477305.969999999 1868393.5699999928 0, 6477308.620000005 1868511.2199999988 0, 6477367.810000002 1868509.150000006 0))"
139,005021003000,005-021-003-000,0.15,11,002014,0,0050210300 CONVERTED    12/01/87,6470.6799,342.993249228,"POLYGON Z ((6477424.180000007 1868507.200000003 0, 6477422.489999995 1868392.4899999946 0, 6477366.769999996 1868393.0100000054 0, 6477367.810000002 1868509.150000006 0, 6477424.180000007 1868507.200000003 0))"
140,001163019000,001-163-019-000,0.14,11,002014,0,0011631900 CONVERTED    12/01/87,6788.42195,351.554856667,"POLYGON Z ((6475263.569999993 1874295.0400000066 0, 6475147.609999999 1874268.5600000024 0, 6475135.040000007 1874324.5100000054 0, 6475250.109999999 1874350.6899999976 0, 6475263.569999993 1874295.0400000066 0))"
141,001165009000,001-165-009-000,0.18,11,002000,0,0011650900 CONVERTED    12/01/87,7980.3721,371.602406253,"POLYGON Z ((6474592.230000004 1874182.4599999934 0, 6474476.260000005 1874157.2300000042 0, 6474461.909999996 1874222.7099999934 0, 6474577.159999996 1874248.5400000066 0, 6474592.230000004 1874182.4599999934 0))"
142,001165010000,001-165-010-000,0.2,11,002000,0,0011651000 CONVERTED    12/01/87,8852.6076125,430.039350298,"POLYGON Z ((6474603.349999994 1874138.4300000072 0, 6474605.262296498 1874130.4298386367 0, 6474608.528983872 1874122.8807848238 0, 6474613.0516709555 1874116.010212692 0, 6474618.694136436 1874110.0250607997 0, 6474625.286431778 1874105.105599244 0, 6474632.629999995 1874101.400000006 0, 6474629.5 1874092.950000003 0, 6474608.465970882 1874098.6916786083 0, 6474586.980598589 1874102.403286293 0, 6474565.2393450355 1874104.051056924 0, 6474543.439999998 1874103.6200000048 0, 6474490.430000007 1874092.5300000012 0, 6474476.260000005 1874157.2300000042 0, 6474592.230000004 1874182.4599999934 0, 6474603.349999994 1874138.4300000072 0))"
143,001182016000,001-182-016-000,0.18,215,002014,0,0011821600 CONVERTED    12/01/87,7747.15335,380.99128627,"POLYGON Z ((6477218.209999993 1874782.200000003 0, 6477227.260000005 1874742.6599999964 0, 6477098.290000007 1874713.799999997 0, 6477086.120000005 1874771.549999997 0, 6477214.159999996 1874799.8599999994 0, 6477218.209999993 1874782.200000003 0))"
144,001183013000,001-183-013-000,0.14,2122,002014,0,0011831300 CONVERTED    12/01/87,5998.1796,338.534747032,"POLYGON Z ((6477688.390000001 1874504.150000006 0, 6477638.060000002 1874497.1400000006 0, 6477613.099999994 1874610.9399999976 0, 6477627.359999999 1874614.1599999964 0, 6477662.329999998 1874622.049999997 0, 6477688.390000001 1874504.150000006 0))"
