Land Use Code,Descr,Direct Chrg Class,Dwelling Type,Use Category,BOECategory,Is Apply Inflation,Status,DTS
71,CONDO/COMMERCIAL COMMON AREA,,8.0,OSM,0,A,2015-05-15,vpoli
72,PUD RES COMMON AREA,,8.0,OSM,0,A,2015-05-15,vpoli
73,PUD COMMERCIAL COMMON AREA,,8.0,OSM,0,A,2015-05-15,vpoli
80,VACANT LAND NON-TAXABLE,,0.0,OSM,1,A,2015-05-15,vpoli
81,IMPRVD LAND NON-TAXABLE,,0.0,OSM,1,A,2015-05-15,vpoli
90,VACANT LAND R/W,,0.0,OSM,1,A,2015-05-15,vpoli
91,IMPRVD LAND R/W,,0.0,OSM,1,A,2015-05-15,vpoli
BTS,BOAT STORAGE,,2.0,ICI,0,A,2021-08-12,Megabyte
CAVE,CAVE FOR INDUSTRIAL OR COMMERCIAL USE,,3.0,ICI,1,A,2021-08-12,Megabyte
GLA1,GLASS FIRE DAMAGED,,0.0,,0,A,2021-01-11,jtydingco
GLA2,GLASS FIRE DAMAGED W/CAVE,,,,0,A,2021-01-11,jtydingco
GLA3,GLASS FIRE DESTROYED,,,,0,A,2021-01-11,jtydingco
GLA4,GLASS FIRE DESTROYED W/CAVE,,,,0,A,2021-01-11,jtydingco
HIST,MILLS ACT PROPERTY,,0.0,,0,A,2018-05-30,jtydingco
L,LEASING COMPANIES,,0.0,,1,A,2004-05-17,sa
LITC,LOW INCOME HOUSING TAX CREDIT FINANCED,,0.0,,0,A,2018-09-19,jtydingco
LNU1,LNU FIRE DAMAGED,,,,0,A,2020-10-19,jtydingco
LNU2,LNU FIRE DESTROYED,,,,0,A,2020-10-19,jtydingco
NFC1,NAPA FIRE COMPLEX DAMAGED,,0.0,,0,A,2018-05-30,jtydingco
NFC2,NAPA FIRE COMPLEX DAMAGED W/CAVE,,0.0,,0,A,2018-05-30,jtydingco
NFC3,NAPA FIRE COMPLEX DESTROYED,,0.0,,0,A,2018-05-30,jtydingco
NFC4,NAPA FIRE COMPLEX DESTROYED W/CAVE,,0.0,,0,A,2018-05-30,jtydingco
